loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,last_pymnt_d,pub_rec_bankruptcies
3600,3600,3600.0, 36 months,6.03%,109.57,A,A1,Duracell,10+ years,110000.0,Not Verified,11-Dec,Fully Paid,major_purchase,067xx,CT,10.52,0,20,0,22836,16%,42,13-May,0
6000,6000,6000.0, 36 months,11.71%,198.46,B,B3,Connection Inspection,1 year,84000.0,Verified,11-Dec,Fully Paid,medical,890xx,UT,18.44,0,4,0,0,37.73%,14,15-Feb,0
9200,9200,9200.0, 36 months,6.03%,280.01,A,A1,Network Interpreting Service,6 years,77385.19,Not Verified,11-Dec,Fully Paid,debt_consolidation,921xx,CA,9.86,0,8,0,7314,23.10%,28,12-Jul,0
20250,20250,19142.16108, 60 months,15.27%,484.63,C,C4,Archdiocese of Galveston Houston,3 years,43370.0,Verified,11-Dec,Fully Paid,debt_consolidation,770xx,TX,26.53,3,8,0,17813,85.60%,22,15-Aug,0
21000,21000,21000.0, 36 months,12.42%,701.73,B,B4,Osram Sylvania,10+ years,105000.0,Verified,11-Dec,Charged Off,debt_consolidation,335xx,FL,13.22,0,7,0,32135,90.30%,38,13-Sep,0
10000,10000,10000.0, 36 months,11.71%,330.76,B,B3,Value Air,10+ years,50000.0,Source Verified,11-Dec,Fully Paid,credit_card,799xx,TX,11.18,0,8,0,10056,82.40%,21,15-Jan,0
10000,10000,10000.0, 36 months,11.71%,330.76,B,B3,Wells Fargo Bank,5 years,50000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,917xx,CA,16.01,0,6,0,17800,91.80%,17,13-Oct,0
6000,6000,6000.0, 36 months,11.71%,198.46,B,B3,bmg-educational,1 year,76000.0,Not Verified,11-Dec,Charged Off,major_purchase,900xx,CA,2.4,1,7,0,5963,29.70%,7,12-Oct,0
15000,15000,15000.0, 36 months,9.91%,483.38,B,B1,Winfield Pathology Consultants,2 years,92000.0,Verified,11-Dec,Fully Paid,credit_card,605xx,IL,29.44,0,8,0,13707,93.90%,31,12-Sep,0
15000,15000,8725.0, 36 months,14.27%,514.64,C,C2,nyc transit,9 years,60000.0,Not Verified,11-Dec,Charged Off,debt_consolidation,103xx,NY,15.22,1,7,0,5872,57.60%,11,,0
5000,5000,5000.0, 60 months,16.77%,123.65,D,D2,Frito Lay,2 years,50004.0,Not Verified,11-Dec,Charged Off,other,150xx,PA,13.97,0,14,0,4345,59.50%,22,12-Dec,0
4000,4000,4000.0, 36 months,11.71%,132.31,B,B3,Shands Hospital at the University of Fl,10+ years,106000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,326xx,FL,5.63,0,12,0,6110,37.70%,44,13-Apr,0
8500,8500,8500.0, 36 months,11.71%,281.15,B,B3,Oakridge homes,< 1 year,25000.0,Source Verified,11-Dec,Fully Paid,credit_card,564xx,MN,12.19,0,8,0,6441,59.10%,12,14-Dec,0
4375,4375,4375.0, 36 months,7.51%,136.11,A,A3,,7 years,17108.0,Source Verified,11-Dec,Fully Paid,debt_consolidation,141xx,NY,20.34,0,6,0,11210,86.90%,12,15-Jan,0
31825,31825,31825.0, 36 months,7.90%,995.82,A,A4,Audubon Mutual Housing Corporation,5 years,75000.0,Verified,11-Dec,Fully Paid,debt_consolidation,080xx,NJ,14.03,0,12,0,23151,27.40%,26,13-Aug,0
10000,10000,9975.0, 60 months,15.96%,242.97,C,C5,US Legal Support,2 years,29120.0,Verified,11-Dec,Current,debt_consolidation,330xx,FL,22.83,1,11,0,16158,63.60%,31,16-May,0
5000,5000,5000.0, 36 months,8.90%,158.77,A,A5,Good Samaritan Society,2 years,24044.0,Verified,11-Dec,Fully Paid,debt_consolidation,974xx,OR,11.93,0,8,0,2224,29.30%,16,15-Jan,0
7000,7000,7000.0, 36 months,15.96%,245.97,C,C5,GREG BARRETT DRYWALL,7 years,34000.0,Source Verified,11-Dec,Fully Paid,credit_card,934xx,CA,6.35,1,6,0,6113,60.50%,6,15-Jan,0
12400,12400,12400.0, 36 months,10.65%,403.91,B,B2,Sharp Lawn Inc.,10+ years,41000.0,Not Verified,11-Dec,Fully Paid,credit_card,405xx,KY,11.8,2,9,0,11095,57.20%,12,15-Jan,0
10800,10800,10800.0, 36 months,9.91%,348.03,B,B1,Department of Justice,2 years,55596.0,Source Verified,11-Dec,Fully Paid,moving,946xx,CA,5.5,0,7,0,2535,13.30%,18,13-Nov,0
15000,15000,15000.0, 36 months,7.90%,469.36,A,A4,Gateway Hospice,1 year,45000.0,Verified,11-Dec,Fully Paid,debt_consolidation,445xx,OH,8.48,0,7,0,6704,50.40%,27,14-Jan,0
6000,6000,6000.0, 36 months,12.42%,200.5,B,B4,Cox Communications,1 year,36852.0,Source Verified,11-Dec,Fully Paid,debt_consolidation,850xx,AZ,10.62,1,7,0,7310,66.50%,12,14-Apr,0
12500,12500,12475.0, 60 months,12.69%,282.44,B,B5,United States Infrastructure Corporation,1 year,27000.0,Verified,11-Dec,Current,debt_consolidation,604xx,IL,16.04,3,6,0,10143,50%,24,16-May,0
9600,9600,9600.0, 36 months,7.51%,298.67,A,A3,Nucor Building Systems,4 years,68004.0,Source Verified,11-Dec,Fully Paid,other,292xx,SC,6.63,0,6,0,2896,18.10%,11,15-Jan,0
12000,12000,12000.0, 36 months,7.90%,375.49,A,A4,John Wiley Jr.,10+ years,62300.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,088xx,NJ,16.7,0,15,0,8601,21%,25,15-Jan,0
3000,3000,3000.0, 36 months,18.25%,108.84,D,D5,,9 years,65000.0,Not Verified,11-Dec,Fully Paid,other,180xx,PA,17.39,0,8,0,43936,98.10%,22,15-Jan,0
4400,4400,4400.0, 36 months,16.77%,156.37,D,D2,citizens bank,10+ years,55000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,029xx,RI,20.01,0,7,0,25237,99%,11,15-Jan,0
6000,6000,6000.0, 36 months,6.03%,182.62,A,A1,"Stewart Enterprises, Inc.",10+ years,45600.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,700xx,LA,5.34,1,6,0,3378,32.50%,28,12-Jul,0
14000,14000,14000.0, 36 months,9.91%,451.15,B,B1,golfers warehouse,6 years,80000.0,Not Verified,11-Dec,Fully Paid,small_business,010xx,MA,10.0,1,7,0,2219,13.40%,40,15-Jan,0
5000,5000,5000.0, 36 months,8.90%,158.77,A,A5,STERIS Corporation,10+ years,100000.0,Source Verified,11-Dec,Charged Off,debt_consolidation,441xx,OH,16.33,0,17,0,74351,62.10%,35,14-Aug,0
10000,10000,10000.0, 36 months,10.65%,325.74,B,B2,Costco Wholesale Corp.,6 years,27000.0,Verified,11-Dec,Fully Paid,other,104xx,NY,11.47,0,7,0,7814,52.30%,10,15-Jan,0
10000,10000,10000.0, 36 months,6.03%,304.36,A,A1,Helicoil,10+ years,60000.0,Not Verified,11-Dec,Fully Paid,credit_card,067xx,CT,12.74,1,11,0,14019,19.50%,18,12-Jul,0
11000,11000,11000.0, 36 months,6.62%,337.75,A,A2,cognizant technology solutions,5 years,70000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,061xx,CT,10.85,0,5,0,11638,36.40%,7,15-Jan,0
15000,15000,15000.0, 36 months,9.91%,483.38,B,B1,Caterpillar Inc.,8 years,80000.0,Not Verified,11-Dec,Charged Off,debt_consolidation,616xx,IL,9.12,2,9,0,11845,63.70%,28,14-Oct,0
25600,25600,25350.0, 36 months,9.91%,824.96,B,B1,City of Santa Monica ,9 years,110000.0,Verified,11-Dec,Fully Paid,credit_card,913xx,CA,15.71,0,11,0,26088,62%,27,15-Jan,0
7000,7000,7000.0, 36 months,10.65%,228.02,B,B2,Aerotek Scientific,< 1 year,40000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,947xx,CA,7.38,0,7,0,12168,92.90%,12,15-Jan,0
12000,12000,12000.0, 36 months,15.96%,421.65,C,C5,Chemat Technology Inc,4 years,50000.0,Not Verified,11-Dec,Charged Off,car,914xx,CA,20.88,2,11,0,15793,90.80%,11,12-Aug,0
12000,12000,12000.0, 36 months,9.91%,386.7,B,B1,Scott & White,1 year,46000.0,Not Verified,11-Dec,Fully Paid,credit_card,765xx,TX,8.11,1,11,0,12143,52.10%,12,14-Jul,0
21000,21000,20975.0, 60 months,19.91%,555.33,E,E4,Costco,7 years,50000.0,Verified,11-Dec,Charged Off,debt_consolidation,980xx,WA,21.58,1,7,0,19448,97.60%,14,14-Oct,0
16000,16000,15950.0, 60 months,19.91%,423.11,E,E4,CA Technologies,7 years,81000.0,Verified,11-Dec,Fully Paid,credit_card,017xx,MA,20.52,3,12,0,27884,75.10%,21,13-Oct,0
10000,10000,10000.0, 36 months,12.42%,334.16,B,B4,Netflix,< 1 year,39000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,972xx,OR,18.58,0,5,0,12874,72.70%,10,13-Jul,0
10000,10000,10000.0, 36 months,10.65%,325.74,B,B2,DCAA,2 years,51400.0,Not Verified,11-Dec,Fully Paid,credit_card,752xx,TX,19.14,3,10,0,10160,59.10%,24,12-Aug,0
7100,7100,7100.0, 36 months,16.77%,252.33,D,D2,Triple D security ,1 year,33000.0,Verified,11-Dec,Fully Paid,debt_consolidation,787xx,TX,24.0,2,4,0,6021,91.20%,8,15-Jan,0
13000,13000,13000.0, 60 months,12.69%,293.74,B,B5,wrisco,< 1 year,30000.0,Source Verified,11-Dec,Fully Paid,debt_consolidation,077xx,NJ,13.72,0,17,0,17080,58.90%,27,16-Jan,0
17500,8950,8925.0, 60 months,17.27%,223.74,D,D3,,6 years,40000.0,Verified,11-Dec,Fully Paid,small_business,951xx,CA,19.47,1,5,0,10724,58.90%,6,16-Feb,0
17675,17675,17675.0, 60 months,14.65%,417.25,C,C3,webb candy,< 1 year,50000.0,Source Verified,11-Dec,Fully Paid,debt_consolidation,540xx,WI,16.46,2,6,0,6661,57.40%,14,13-Aug,0
8000,8000,8000.0, 36 months,16.77%,284.31,D,D2,Omniplex ,< 1 year,62000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,225xx,VA,21.64,3,14,0,6088,66.90%,20,14-Dec,0
10000,10000,9975.0, 60 months,10.65%,215.69,B,B2,CEC ENTERTAINMENT INC,10+ years,45996.0,Verified,11-Dec,Charged Off,debt_consolidation,440xx,OH,21.73,1,7,0,11170,30.10%,15,15-Apr,0
3500,3500,3500.0, 36 months,10.65%,114.01,B,B2,CPI,7 years,55000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,437xx,OH,5.39,1,9,0,6611,45.90%,12,15-Jan,0
12500,8925,8925.0, 60 months,17.27%,223.11,D,D3,grandma kitchen,5 years,30000.0,Source Verified,11-Dec,Charged Off,debt_consolidation,559xx,MN,13.16,0,7,1,9844,70.80%,28,14-Feb,1
16425,16425,16425.0, 36 months,14.27%,563.53,C,C2,"Gen-Probe, Inc",4 years,44544.0,Source Verified,11-Dec,Fully Paid,debt_consolidation,921xx,CA,22.71,1,10,0,15747,83.40%,18,12-Nov,0
8200,8200,8200.0, 60 months,21.28%,223.14,F,F2,autozone,4 years,75000.0,Source Verified,11-Dec,Charged Off,small_business,912xx,CA,12.48,3,6,0,9012,73.90%,11,13-Jun,0
15000,15000,15000.0, 36 months,14.65%,517.42,C,C3,USAF Civil Service,2 years,61000.0,Verified,11-Dec,Fully Paid,credit_card,325xx,FL,11.88,1,8,0,19397,79.50%,18,14-Sep,0
20975,13575,13550.0, 60 months,17.58%,341.63,D,D4,Dollar Tree Stores,5 years,44000.0,Verified,11-Dec,Fully Paid,credit_card,300xx,GA,18.79,0,13,1,20657,79.40%,21,14-Apr,1
6400,6400,6400.0, 36 months,16.77%,227.45,D,D2,"Riverside County, California",5 years,75000.0,Not Verified,11-Dec,Charged Off,debt_consolidation,923xx,CA,20.22,0,9,0,7159,67.50%,27,13-Oct,0
3000,3000,3000.0, 36 months,13.49%,101.8,C,C1,Insight Card Services,1 year,33600.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,352xx,AL,18.11,0,4,0,2745,83.20%,7,12-Sep,0
12000,12000,12000.0, 36 months,16.77%,426.47,D,D2,Genocea Biosciences,3 years,50000.0,Not Verified,11-Dec,Fully Paid,credit_card,013xx,MA,20.57,1,13,0,11443,97%,19,15-Jan,0
14400,14400,14400.0, 36 months,8.90%,457.25,A,A5,Model Metrics,< 1 year,150000.0,Source Verified,11-Dec,Fully Paid,debt_consolidation,146xx,NY,14.85,0,12,0,63864,55%,38,15-Jan,0
12000,12000,12000.0, 36 months,14.65%,413.94,C,C3,Boro of Butler,10+ years,90000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,074xx,NJ,16.56,2,12,0,17116,78.50%,36,12-Jun,0
11000,11000,11000.0, 36 months,13.49%,373.24,C,C1,TX Army National Guard,10+ years,48000.0,Verified,11-Dec,Fully Paid,debt_consolidation,786xx,TX,21.82,3,15,0,11382,65%,29,14-Oct,0
7250,7200,7175.0, 60 months,21.67%,197.51,F,F3,Cross Country Travel Corp,< 1 year,75000.0,Verified,11-Dec,Fully Paid,debt_consolidation,937xx,CA,24.82,2,9,1,21706,91.20%,19,12-Sep,1
15000,15000,15000.0, 36 months,7.90%,469.36,A,A4,Segovia's Transportion Inc.,1 year,52000.0,Not Verified,11-Dec,Fully Paid,small_business,799xx,TX,9.65,1,11,0,1616,6.70%,29,12-Aug,0
18000,18000,18000.0, 60 months,19.91%,475.99,E,E4,AVMED HEALTH PLANS,10+ years,65000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,331xx,FL,6.81,0,10,0,11745,77.80%,40,14-Oct,0
35000,22075,22050.0, 60 months,17.27%,551.84,D,D3,tutor Per ini Corporation,3 years,150000.0,Verified,11-Dec,Fully Paid,home_improvement,115xx,NY,7.51,1,11,0,7334,53.30%,31,14-Feb,0
10000,10000,10000.0, 36 months,14.27%,343.09,C,C2,SAP,2 years,68000.0,Source Verified,11-Dec,Fully Paid,credit_card,191xx,PA,15.39,1,9,0,11303,81.30%,15,12-Jul,0
11800,11800,11800.0, 36 months,12.69%,395.83,B,B5,Koi Restaurant,6 years,42000.0,Source Verified,11-Dec,Fully Paid,credit_card,114xx,NY,9.86,0,4,0,8940,74.80%,13,15-Jan,0
4500,4500,4500.0, 36 months,6.03%,136.96,A,A1,CaseStack,4 years,53000.0,Source Verified,11-Dec,Fully Paid,major_purchase,908xx,CA,4.44,0,7,0,8630,13.90%,17,15-Jan,0
7000,7000,7000.0, 36 months,12.69%,234.82,B,B5,Bellflower convalecent hospital,10+ years,35000.0,Source Verified,11-Dec,Fully Paid,credit_card,902xx,CA,11.35,2,10,0,7649,82.30%,26,15-Jan,0
9200,9200,9200.0, 36 months,12.42%,307.43,B,B4,Kaiser Permanente,2 years,60000.0,Source Verified,11-Dec,Fully Paid,debt_consolidation,902xx,CA,19.96,3,8,0,23299,78.70%,19,13-Jul,0
14000,14000,13975.0, 60 months,17.27%,349.98,D,D3,community colleges of spokane,4 years,28000.0,Verified,11-Dec,Current,other,992xx,WA,6.34,2,5,0,6986,79.40%,10,16-May,0
4500,4500,4475.0, 60 months,10.65%,97.06,B,B2,barnes distribution,< 1 year,42000.0,Source Verified,11-Dec,Fully Paid,car,750xx,TX,5.4,0,4,0,8220,78.30%,9,12-Dec,0
12000,12000,12000.0, 36 months,16.29%,423.61,D,D1,Phoenix Newspapers Inc.,9 years,88365.0,Verified,11-Dec,Fully Paid,debt_consolidation,852xx,AZ,16.85,0,6,0,22936,96.40%,15,13-Nov,0
12000,12000,12000.0, 36 months,13.49%,407.17,C,C1,LITHIA MOTORS,4 years,72000.0,Source Verified,11-Dec,Fully Paid,debt_consolidation,937xx,CA,21.33,1,11,0,3419,27.60%,19,14-Apr,0
12000,12000,12000.0, 36 months,10.65%,390.88,B,B2,Insight Global,< 1 year,62000.0,Verified,11-Dec,Fully Paid,credit_card,750xx,TX,23.94,0,10,0,20310,78.40%,51,12-Sep,0
7000,7000,7000.0, 36 months,10.65%,228.02,B,B2,Winghouse Corporation,3 years,43680.0,Not Verified,11-Dec,Fully Paid,credit_card,559xx,MN,5.38,0,7,0,6245,78.10%,11,13-Feb,0
8200,8200,8200.0, 60 months,19.42%,214.62,E,E3,Claret Wine Bar,3 years,120000.0,Source Verified,11-Dec,Fully Paid,debt_consolidation,104xx,NY,2.8,2,5,0,10392,88.40%,6,14-Dec,0
10500,10500,10500.0, 36 months,12.69%,352.23,B,B5,O'Connor,10+ years,66000.0,Verified,11-Dec,Fully Paid,medical,950xx,CA,20.73,2,8,0,5790,51.20%,26,12-Oct,0
7000,7000,7000.0, 36 months,11.71%,231.54,B,B3,Harris,4 years,39120.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,329xx,FL,21.01,0,8,1,9414,52.40%,26,13-Jun,0
15300,15300,15275.0, 60 months,22.06%,423.1,F,F4,OSSI,6 years,85000.0,Verified,11-Dec,Current,credit_card,226xx,VA,20.58,2,14,0,26524,89.70%,27,16-May,0
20000,12800,12775.0, 60 months,11.71%,282.86,B,B3,NCS Technologies,4 years,47800.0,Verified,11-Dec,Fully Paid,debt_consolidation,226xx,VA,10.04,0,15,0,16447,46.30%,27,13-Nov,0
17500,17500,17500.0, 60 months,17.27%,437.47,D,D3,Travelers Insurance,7 years,45000.0,Not Verified,11-Dec,Charged Off,credit_card,992xx,WA,21.31,2,13,0,20129,86.10%,26,13-Apr,0
3500,3500,3500.0, 36 months,6.03%,106.53,A,A1,J&J Steel Inc,10+ years,83000.0,Verified,11-Dec,Fully Paid,car,614xx,IL,2.31,0,6,0,3092,13.40%,28,15-Jan,0
6000,6000,6000.0, 60 months,12.69%,135.57,B,B5,Anadarko Petroleum Corporation,< 1 year,81000.0,Source Verified,11-Dec,Current,major_purchase,802xx,CO,13.66,0,6,0,15102,50%,17,16-May,0
6200,6200,6200.0, 36 months,9.91%,199.8,B,B1,Sunrise Senior Living,2 years,25000.0,Not Verified,11-Dec,Charged Off,debt_consolidation,902xx,CA,20.64,2,7,0,6533,47.70%,12,12-Dec,0
16000,16000,16000.0, 60 months,17.58%,402.65,D,D4,Menards,7 years,65000.0,Not Verified,11-Dec,Current,debt_consolidation,672xx,KS,15.56,0,8,0,21166,87.10%,16,16-May,0
6000,6000,6000.0, 36 months,8.90%,190.52,A,A5,A Touch Of Italy,8 years,28800.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,083xx,NJ,13.17,0,11,0,5269,36.80%,13,15-Jan,0
7200,7200,7200.0, 36 months,9.91%,232.02,B,B1,New York Living Solutions,6 years,135000.0,Not Verified,11-Dec,Fully Paid,credit_card,100xx,NY,6.12,0,7,0,16627,79.60%,18,15-Jan,0
9500,9500,9500.0, 36 months,8.90%,301.66,A,A5,Natex Architects,7 years,50000.0,Not Verified,11-Dec,Fully Paid,credit_card,770xx,TX,8.18,0,8,0,13422,60.50%,13,13-Jul,0
18825,18825,18800.0, 60 months,16.77%,465.53,D,D2,Texas Health & Human Services Commission,10+ years,38000.0,Verified,11-Dec,Charged Off,debt_consolidation,787xx,TX,23.18,0,6,0,11004,79.70%,7,14-Sep,0
24000,24000,24000.0, 36 months,10.65%,781.76,B,B2,City of Newport Beach,10+ years,45000.0,Verified,11-Dec,Fully Paid,debt_consolidation,926xx,CA,14.8,0,5,0,24708,55.20%,9,15-Jan,0
6000,6000,6000.0, 36 months,13.49%,203.59,C,C1,Becker Construction Corporation,10+ years,80000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,931xx,CA,11.58,0,8,0,15499,83.80%,16,15-Jan,0
6000,6000,6000.0, 36 months,13.49%,203.59,C,C1,Edward Jones,5 years,50000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,860xx,AZ,15.38,1,6,0,15191,91.50%,7,15-Jan,0
2100,2100,2100.0, 36 months,12.42%,70.18,B,B4,Monroe Dispat,10+ years,30000.0,Not Verified,11-Dec,Fully Paid,vacation,712xx,LA,19.72,1,12,0,12183,82.90%,26,14-Dec,0
5500,5500,5500.0, 36 months,6.62%,168.88,A,A2,,8 years,110000.0,Verified,11-Dec,Fully Paid,small_business,060xx,CT,9.69,0,7,0,14136,21.90%,26,15-Jan,0
11000,11000,11000.0, 36 months,6.62%,337.75,A,A2,East Baton Rouge Parish School System,8 years,45608.0,Source Verified,11-Dec,Fully Paid,debt_consolidation,707xx,LA,20.5,0,7,0,10677,58.70%,11,15-Jan,0
26800,26800,26800.0, 60 months,20.89%,723.38,F,F1,charlotte regional medical center,3 years,120000.0,Verified,11-Dec,Fully Paid,debt_consolidation,342xx,FL,12.15,0,13,0,14772,48%,18,13-Mar,0
8000,8000,8000.0, 36 months,12.69%,268.36,B,B5,OPW Fuel Management Systems,5 years,35000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,604xx,IL,10.05,0,7,0,6842,97.70%,18,13-Mar,0
10000,10000,10000.0, 36 months,18.25%,362.78,D,D5,Gucci Group/ Yves Saint Laurent,1 year,75000.0,Source Verified,11-Dec,Charged Off,credit_card,900xx,CA,24.14,0,9,0,22828,96.30%,26,15-Jan,0
8000,8000,8000.0, 36 months,11.71%,264.61,B,B3,Wal-Mart,9 years,35000.0,Verified,11-Dec,Fully Paid,credit_card,895xx,NV,9.7,0,7,0,6142,46.50%,8,14-May,0
10000,10000,10000.0, 36 months,8.90%,317.54,A,A5,Renal Support Network,6 years,24000.0,Verified,11-Dec,Fully Paid,debt_consolidation,900xx,CA,7.0,0,6,0,6734,49.50%,21,13-Mar,0
12000,12000,12000.0, 36 months,11.71%,396.92,B,B3,"Avon Protection Systems, Inc.",2 years,126000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,430xx,OH,13.32,0,17,0,32711,54.10%,38,14-May,0
10000,10000,10000.0, 36 months,7.90%,312.91,A,A4,RAM DME,1 year,43000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,919xx,CA,25.26,0,8,0,8215,37.20%,16,15-Jan,0
12000,12000,12000.0, 36 months,9.91%,386.7,B,B1,samuraisushi restaurant,1 year,50000.0,Not Verified,11-Dec,Fully Paid,debt_consolidation,926xx,CA,16.44,1,11,0,14335,29.30%,25,15-Jan,0
25000,25000,23088.16106, 60 months,13.49%,575.12,C,C1,Midnight,10+ years,67000.0,Verified,11-Dec,Charged Off,credit_card,996xx,AK,14.15,0,6,0,15319,91.20%,21,15-Mar,0
19750,19750,19725.0, 36 months,10.65%,643.33,B,B2,"PACIFIC WOOD LAMINATES, INC.",4 years,45000.0,Verified,11-Dec,Charged Off,debt_consolidation,974xx,OR,22.8,0,12,0,16576,54.20%,28,13-Sep,0
10000,10000,10000.0, 36 months,9.91%,322.25,B,B1,Albert Einstein College of Medicine,3 years,31200.0,Source Verified,11-Dec,Fully Paid,debt_consolidation,104xx,NY,14.81,0,13,0,5540,27%,19,13-Jan,0
13650,13650,13650.0, 36 months,12.42%,456.12,B,B4,MWH Americas,4 years,66000.0,Verified,11-Dec,Fully Paid,debt_consolidation,891xx,NV,24.09,0,11,0,8933,56.50%,34,13-Dec,0
28000,11800,11775.0, 60 months,19.91%,312.04,E,E4,American Airlines,10+ years,52000.0,Verified,11-Dec,Charged Off,debt_consolidation,752xx,TX,20.7,0,10,0,29178,87.60%,16,14-Jun,0
18000,18000,18000.0, 36 months,7.90%,563.23,A,A4,United States Air Force,10+ years,56964.0,Source Verified,11-Dec,Fully Paid,debt_consolidation,935xx,CA,27.55,0,7,0,17381,76.60%,20,15-Jan,0
2500,2500,2500.0, 36 months,14.27%,85.78,C,C2,United states air force,7 years,49500.0,Source Verified,11-Dec,Fully Paid,debt_consolidation,325xx,FL,10.33,1,7,0,9868,37.70%,20,12-Feb,0
